date,Amazon scandal_unscaled
2010-07-06,0
2010-07-07,0
2010-07-08,0
2010-07-09,0
2010-07-10,0
2010-07-11,0
2010-07-12,100
2010-07-13,0
2010-07-14,0
2010-07-15,0
2010-07-16,0
2010-07-17,0
2010-07-18,0
2010-07-19,0
2010-07-20,0
2010-07-21,0
2010-07-22,0
2010-07-23,0
2010-07-24,0
2010-07-25,0
2010-07-26,0
2010-07-27,0
2010-07-28,99
2010-07-29,0
2010-07-30,0
2010-07-31,0
2010-08-01,0
2010-08-02,0
2010-08-03,0
2010-08-04,0
2010-08-05,0
2010-08-06,0
2010-08-07,0
2010-08-08,0
2010-08-09,0
2010-08-10,0
2010-08-11,99
2010-08-12,0
2010-08-13,0
2010-08-14,0
2010-08-15,0
2010-08-16,0
2010-08-17,0
2010-08-18,0
2010-08-19,0
2010-08-20,0
2010-08-21,0
2010-08-22,0
2010-08-23,0
2010-08-24,0
2010-08-25,0
2010-08-26,100
2010-08-27,0
2010-08-28,0
2010-08-29,0
2010-08-30,0
2010-08-31,0
2010-09-01,52
2010-09-02,0
2010-09-03,0
2010-09-04,0
2010-09-05,0
2010-09-06,0
2010-09-07,53
2010-09-08,0
2010-09-09,52
2010-09-10,0
2010-09-11,0
2010-09-12,0
2010-09-13,0
2010-09-14,0
2010-09-15,0
2010-09-16,0
2010-09-17,0
2010-09-18,0
2010-09-19,0
2010-09-20,0
2010-09-21,0
2010-09-22,52
2010-09-23,51
2010-09-24,0
2010-09-25,0
2010-09-26,0
2010-09-27,0
2010-09-28,100
2010-09-29,0
2010-09-30,0
2010-10-01,0
2010-10-02,0
2010-10-03,0
2010-10-04,0
2010-10-05,0
2010-10-06,0
2010-10-07,0
2010-10-08,75
2010-10-09,0
2010-10-10,100
2010-10-11,74
2010-10-12,0
2010-10-13,72
2010-10-14,0
2010-10-15,0
2010-10-16,0
2010-10-17,0
2010-10-18,0
2010-10-19,0
2010-10-20,0
2010-10-21,0
2010-10-22,0
2010-10-23,0
2010-10-24,0
2010-10-25,68
2010-10-26,68
2010-10-27,0
2010-10-28,0
2010-10-29,0
2010-10-30,0
2010-10-31,0
2010-11-01,0
2010-11-02,0
2010-11-03,0
2010-11-04,0
2010-11-05,0
2010-11-06,0
2010-11-07,0
2010-11-08,0
2010-11-09,35
2010-11-10,0
2010-11-11,37
2010-11-12,57
2010-11-13,100
2010-11-14,50
2010-11-15,0
2010-11-16,69
2010-11-17,35
2010-11-18,0
2010-11-19,0
2010-11-20,96
2010-11-21,0
2010-11-22,35
2010-11-23,35
2010-11-24,39
2010-11-25,50
2010-11-26,0
2010-11-27,0
2010-11-28,49
2010-11-29,34
2010-11-30,34
2010-12-01,0
2010-12-02,54
2010-12-03,57
2010-12-04,0
2010-12-05,0
2010-12-06,0
2010-12-07,0
2010-12-08,0
2010-12-09,0
2010-12-10,0
2010-12-11,74
2010-12-12,0
2010-12-13,0
2010-12-14,0
2010-12-15,55
2010-12-16,0
2010-12-17,0
2010-12-18,0
2010-12-19,0
2010-12-20,0
2010-12-21,0
2010-12-22,0
2010-12-23,67
2010-12-24,0
2010-12-25,100
2010-12-26,0
2010-12-27,0
2010-12-28,64
2010-12-29,0
2010-12-30,65
2010-12-31,74
2011-01-01,100
2011-01-02,0
2011-01-03,63
2011-01-04,0
2011-01-05,62
2011-01-06,64
2011-01-07,0
2011-01-08,80
2011-01-09,0
2011-01-10,61
2011-01-11,60
2011-01-12,0
2011-01-13,0
2011-01-14,0
2011-01-15,0
2011-01-16,79
2011-01-17,64
2011-01-18,60
2011-01-19,0
2011-01-20,0
2011-01-21,0
2011-01-22,0
2011-01-23,0
2011-01-24,0
2011-01-25,0
2011-01-26,59
2011-01-27,0
2011-01-28,62
2011-01-29,0
2011-01-30,0
2011-01-31,56
2011-02-01,0
2011-02-02,0
2011-02-03,0
2011-02-04,79
2011-02-05,0
2011-02-06,100
2011-02-07,0
2011-02-08,0
2011-02-09,0
2011-02-10,0
2011-02-11,0
2011-02-12,0
2011-02-13,0
2011-02-14,0
2011-02-15,79
2011-02-16,0
2011-02-17,0
2011-02-18,0
2011-02-19,0
2011-02-20,0
2011-02-21,0
2011-02-22,0
2011-02-23,0
2011-02-24,0
2011-02-25,0
2011-02-26,0
2011-02-27,100
2011-02-28,77
2011-03-01,77
2011-03-02,0
2011-03-03,0
2011-03-04,0
2011-03-05,0
2011-03-06,0
2011-03-07,78
2011-03-08,0
2011-03-09,0
2011-03-10,78
2011-03-11,77
2011-03-12,0
2011-03-13,0
2011-03-14,89
2011-03-15,0
2011-03-16,0
2011-03-17,0
2011-03-18,0
2011-03-19,0
2011-03-20,0
2011-03-21,0
2011-03-22,0
2011-03-23,78
2011-03-24,0
2011-03-25,0
2011-03-26,100
2011-03-27,0
2011-03-28,0
2011-03-29,0
2011-03-30,0
2011-03-31,0
2011-04-01,0
2011-04-02,0
2011-04-03,0
2011-04-04,0
2011-04-05,0
2011-04-06,0
2011-04-07,0
2011-04-08,0
2011-04-09,0
2011-04-10,0
2011-04-11,0
2011-04-12,0
2011-04-13,0
2011-04-14,75
2011-04-15,78
2011-04-16,0
2011-04-17,100
2011-04-18,0
2011-04-19,0
2011-04-20,73
2011-04-21,0
2011-04-22,0
2011-04-23,0
2011-04-24,0
2011-04-25,0
2011-04-26,0
2011-04-27,73
2011-04-28,0
2011-04-29,0
2011-04-30,0
2011-05-01,47
2011-05-02,68
2011-05-03,35
2011-05-04,0
2011-05-05,0
2011-05-06,38
2011-05-07,0
2011-05-08,0
2011-05-09,0
2011-05-10,0
2011-05-11,35
2011-05-12,0
2011-05-13,0
2011-05-14,0
2011-05-15,0
2011-05-16,0
2011-05-17,0
2011-05-18,53
2011-05-19,0
2011-05-20,37
2011-05-21,48
2011-05-22,0
2011-05-23,0
2011-05-24,0
2011-05-25,35
2011-05-26,0
2011-05-27,0
2011-05-28,100
2011-05-29,0
2011-05-30,0
2011-05-31,36
2011-06-01,0
2011-06-02,0
2011-06-03,100
2011-06-04,0
2011-06-05,0
2011-06-06,96
2011-06-07,0
2011-06-08,97
2011-06-09,96
2011-06-10,0
2011-06-11,0
2011-06-12,0
2011-06-13,0
2011-06-14,96
2011-06-15,0
2011-06-16,99
2011-06-17,0
2011-06-18,0
2011-06-19,0
2011-06-20,0
2011-06-21,94
2011-06-22,0
2011-06-23,97
2011-06-24,99
2011-06-25,0
2011-06-26,0
2011-06-27,0
2011-06-28,94
2011-06-29,95
2011-06-30,0
2011-07-01,0
2011-07-02,0
2011-07-03,75
2011-07-04,70
2011-07-05,0
2011-07-06,0
2011-07-07,0
2011-07-08,52
2011-07-09,0
2011-07-10,70
2011-07-11,0
2011-07-12,0
2011-07-13,51
2011-07-14,0
2011-07-15,54
2011-07-16,0
2011-07-17,0
2011-07-18,0
2011-07-19,75
2011-07-20,100
2011-07-21,51
2011-07-22,53
2011-07-23,0
2011-07-24,65
2011-07-25,0
2011-07-26,0
2011-07-27,0
2011-07-28,0
2011-07-29,0
2011-07-30,0
2011-07-31,0
2011-08-01,0
2011-08-02,0
2011-08-03,0
2011-08-04,0
2011-08-05,0
2011-08-06,0
2011-08-07,0
2011-08-08,96
2011-08-09,0
2011-08-10,97
2011-08-11,100
2011-08-12,0
2011-08-13,0
2011-08-14,0
2011-08-15,0
2011-08-16,97
2011-08-17,98
2011-08-18,99
2011-08-19,0
2011-08-20,0
2011-08-21,0
2011-08-22,0
2011-08-23,94
2011-08-24,96
2011-08-25,0
2011-08-26,0
2011-08-27,0
2011-08-28,0
2011-08-29,0
2011-08-30,0
2011-08-31,0
2011-09-01,0
2011-09-02,0
2011-09-03,87
2011-09-04,0
2011-09-05,0
2011-09-06,0
2011-09-07,0
2011-09-08,0
2011-09-09,0
2011-09-10,0
2011-09-11,85
2011-09-12,0
2011-09-13,66
2011-09-14,100
2011-09-15,0
2011-09-16,0
2011-09-17,88
2011-09-18,0
2011-09-19,68
2011-09-20,0
2011-09-21,68
2011-09-22,0
2011-09-23,70
2011-09-24,87
2011-09-25,0
2011-09-26,67
2011-09-27,0
2011-09-28,66
2011-09-29,0
2011-09-30,0
2011-10-01,64
2011-10-02,64
2011-10-03,0
2011-10-04,50
2011-10-05,0
2011-10-06,100
2011-10-07,0
2011-10-08,0
2011-10-09,0
2011-10-10,75
2011-10-11,0
2011-10-12,0
2011-10-13,0
2011-10-14,0
2011-10-15,0
2011-10-16,62
2011-10-17,0
2011-10-18,48
2011-10-19,0
2011-10-20,0
2011-10-21,0
2011-10-22,0
2011-10-23,0
2011-10-24,0
