date,Amazon stock_unscaled
2010-07-06,59
2010-07-07,33
2010-07-08,67
2010-07-09,65
2010-07-10,34
2010-07-11,35
2010-07-12,0
2010-07-13,24
2010-07-14,49
2010-07-15,0
2010-07-16,0
2010-07-17,71
2010-07-18,36
2010-07-19,0
2010-07-20,49
2010-07-21,37
2010-07-22,100
2010-07-23,43
2010-07-24,34
2010-07-25,59
2010-07-26,37
2010-07-27,24
2010-07-28,49
2010-07-29,42
2010-07-30,53
2010-07-31,70
2010-08-01,100
2010-08-02,46
2010-08-03,34
2010-08-04,52
2010-08-05,70
2010-08-06,37
2010-08-07,50
2010-08-08,49
2010-08-09,85
2010-08-10,34
2010-08-11,57
2010-08-12,47
2010-08-13,55
2010-08-14,0
2010-08-15,49
2010-08-16,35
2010-08-17,57
2010-08-18,57
2010-08-19,70
2010-08-20,73
2010-08-21,79
2010-08-22,94
2010-08-23,67
2010-08-24,66
2010-08-25,56
2010-08-26,69
2010-08-27,53
2010-08-28,0
2010-08-29,47
2010-08-30,100
2010-08-31,49
2010-09-01,54
2010-09-02,33
2010-09-03,52
2010-09-04,46
2010-09-05,96
2010-09-06,62
2010-09-07,65
2010-09-08,47
2010-09-09,74
2010-09-10,83
2010-09-11,0
2010-09-12,65
2010-09-13,31
2010-09-14,63
2010-09-15,79
2010-09-16,64
2010-09-17,68
2010-09-18,45
2010-09-19,59
2010-09-20,95
2010-09-21,63
2010-09-22,31
2010-09-23,42
2010-09-24,100
2010-09-25,74
2010-09-26,64
2010-09-27,31
2010-09-28,46
2010-09-29,72
2010-09-30,52
2010-10-01,74
2010-10-02,33
2010-10-03,65
2010-10-04,46
2010-10-05,23
2010-10-06,84
2010-10-07,51
2010-10-08,38
2010-10-09,33
2010-10-10,33
2010-10-11,61
2010-10-12,0
2010-10-13,82
2010-10-14,58
2010-10-15,49
2010-10-16,66
2010-10-17,32
2010-10-18,34
2010-10-19,79
2010-10-20,23
2010-10-21,23
2010-10-22,73
2010-10-23,32
2010-10-24,48
2010-10-25,79
2010-10-26,23
2010-10-27,34
2010-10-28,47
2010-10-29,74
2010-10-30,32
2010-10-31,100
2010-11-01,29
2010-11-02,42
2010-11-03,40
2010-11-04,53
2010-11-05,45
2010-11-06,30
2010-11-07,88
2010-11-08,57
2010-11-09,49
2010-11-10,54
2010-11-11,30
2010-11-12,68
2010-11-13,60
2010-11-14,74
2010-11-15,49
2010-11-16,48
2010-11-17,42
2010-11-18,49
2010-11-19,33
2010-11-20,29
2010-11-21,58
2010-11-22,53
2010-11-23,49
2010-11-24,38
2010-11-25,45
2010-11-26,70
2010-11-27,30
2010-11-28,59
2010-11-29,41
2010-11-30,100
2010-12-01,40
2010-12-02,47
2010-12-03,42
2010-12-04,27
2010-12-05,46
2010-12-06,61
2010-12-07,70
2010-12-08,96
2010-12-09,55
2010-12-10,21
2010-12-11,70
2010-12-12,37
2010-12-13,61
2010-12-14,74
2010-12-15,27
2010-12-16,56
2010-12-17,45
2010-12-18,43
2010-12-19,90
2010-12-20,66
2010-12-21,87
2010-12-22,46
2010-12-23,100
2010-12-24,72
2010-12-25,37
2010-12-26,32
2010-12-27,41
2010-12-28,40
2010-12-29,31
2010-12-30,60
2010-12-31,46
2011-01-01,27
2011-01-02,66
2011-01-03,52
2011-01-04,50
2011-01-05,66
2011-01-06,60
2011-01-07,43
2011-01-08,42
2011-01-09,63
2011-01-10,42
2011-01-11,57
2011-01-12,49
2011-01-13,100
2011-01-14,76
2011-01-15,54
2011-01-16,43
2011-01-17,52
2011-01-18,40
2011-01-19,64
2011-01-20,16
2011-01-21,41
2011-01-22,31
2011-01-23,21
2011-01-24,49
2011-01-25,88
2011-01-26,32
2011-01-27,65
2011-01-28,84
2011-01-29,82
2011-01-30,50
2011-01-31,54
2011-02-01,37
2011-02-02,75
2011-02-03,44
2011-02-04,62
2011-02-05,56
2011-02-06,28
2011-02-07,50
2011-02-08,55
2011-02-09,33
2011-02-10,62
2011-02-11,64
2011-02-12,59
2011-02-13,45
2011-02-14,45
2011-02-15,59
2011-02-16,50
2011-02-17,68
2011-02-18,59
2011-02-19,65
2011-02-20,22
2011-02-21,47
2011-02-22,99
2011-02-23,100
2011-02-24,67
2011-02-25,74
2011-02-26,64
2011-02-27,65
2011-02-28,24
2011-03-01,100
2011-03-02,67
2011-03-03,34
2011-03-04,71
2011-03-05,39
2011-03-06,52
2011-03-07,47
2011-03-08,87
2011-03-09,40
2011-03-10,47
2011-03-11,81
2011-03-12,42
2011-03-13,48
2011-03-14,38
2011-03-15,100
2011-03-16,34
2011-03-17,56
2011-03-18,44
2011-03-19,67
2011-03-20,54
2011-03-21,60
2011-03-22,74
2011-03-23,66
2011-03-24,47
2011-03-25,64
2011-03-26,53
2011-03-27,39
2011-03-28,53
2011-03-29,67
2011-03-30,87
2011-03-31,61
2011-04-01,62
2011-04-02,48
2011-04-03,60
2011-04-04,49
2011-04-05,49
2011-04-06,23
2011-04-07,64
2011-04-08,28
2011-04-09,54
2011-04-10,18
2011-04-11,34
2011-04-12,27
2011-04-13,27
2011-04-14,37
2011-04-15,38
2011-04-16,18
2011-04-17,37
2011-04-18,27
2011-04-19,61
2011-04-20,100
2011-04-21,79
2011-04-22,35
2011-04-23,36
2011-04-24,38
2011-04-25,55
2011-04-26,62
2011-04-27,49
2011-04-28,62
2011-04-29,47
2011-04-30,36
2011-05-01,55
2011-05-02,62
2011-05-03,87
2011-05-04,53
2011-05-05,60
2011-05-06,44
2011-05-07,32
2011-05-08,41
2011-05-09,42
2011-05-10,59
2011-05-11,54
2011-05-12,61
2011-05-13,82
2011-05-14,47
2011-05-15,62
2011-05-16,41
2011-05-17,53
2011-05-18,41
2011-05-19,66
2011-05-20,75
2011-05-21,64
2011-05-22,47
2011-05-23,100
2011-05-24,77
2011-05-25,97
2011-05-26,55
2011-05-27,32
2011-05-28,49
2011-05-29,39
2011-05-30,47
2011-05-31,36
2011-06-01,37
2011-06-02,46
2011-06-03,39
2011-06-04,50
2011-06-05,25
2011-06-06,0
2011-06-07,18
2011-06-08,47
2011-06-09,56
2011-06-10,79
2011-06-11,49
2011-06-12,100
2011-06-13,47
2011-06-14,28
2011-06-15,65
2011-06-16,38
2011-06-17,40
2011-06-18,50
2011-06-19,26
2011-06-20,55
2011-06-21,55
2011-06-22,28
2011-06-23,28
2011-06-24,78
2011-06-25,25
2011-06-26,52
2011-06-27,93
2011-06-28,73
2011-06-29,85
2011-06-30,57
2011-07-01,50
2011-07-02,55
2011-07-03,24
2011-07-04,35
2011-07-05,18
2011-07-06,28
2011-07-07,46
2011-07-08,23
2011-07-09,22
2011-07-10,53
2011-07-11,34
2011-07-12,50
2011-07-13,55
2011-07-14,23
2011-07-15,45
2011-07-16,44
2011-07-17,68
2011-07-18,67
2011-07-19,60
2011-07-20,56
2011-07-21,45
2011-07-22,58
2011-07-23,42
2011-07-24,80
2011-07-25,41
2011-07-26,82
2011-07-27,100
2011-07-28,56
2011-07-29,52
2011-07-30,50
2011-07-31,44
2011-08-01,65
2011-08-02,65
2011-08-03,56
2011-08-04,49
2011-08-05,72
2011-08-06,63
2011-08-07,21
2011-08-08,100
2011-08-09,82
2011-08-10,69
2011-08-11,41
2011-08-12,56
2011-08-13,24
2011-08-14,31
2011-08-15,32
2011-08-16,28
2011-08-17,41
2011-08-18,62
2011-08-19,76
2011-08-20,47
2011-08-21,39
2011-08-22,41
2011-08-23,47
2011-08-24,84
2011-08-25,63
2011-08-26,33
2011-08-27,29
2011-08-28,29
2011-08-29,48
2011-08-30,27
2011-08-31,44
2011-09-01,22
2011-09-02,21
2011-09-03,15
2011-09-04,19
2011-09-05,21
2011-09-06,41
2011-09-07,35
2011-09-08,29
2011-09-09,10
2011-09-10,12
2011-09-11,21
2011-09-12,31
2011-09-13,14
2011-09-14,21
2011-09-15,14
2011-09-16,30
2011-09-17,28
2011-09-18,15
2011-09-19,42
2011-09-20,28
2011-09-21,26
2011-09-22,26
2011-09-23,22
2011-09-24,18
2011-09-25,20
2011-09-26,32
2011-09-27,39
2011-09-28,100
2011-09-29,54
2011-09-30,62
2011-10-01,27
2011-10-02,16
2011-10-03,38
2011-10-04,32
2011-10-05,24
2011-10-06,45
2011-10-07,26
2011-10-08,18
2011-10-09,20
2011-10-10,29
2011-10-11,24
2011-10-12,13
2011-10-13,17
2011-10-14,27
2011-10-15,29
2011-10-16,15
2011-10-17,37
2011-10-18,23
2011-10-19,27
2011-10-20,21
2011-10-21,29
2011-10-22,20
2011-10-23,24
2011-10-24,24
2011-10-25,42
2011-10-26,100
2011-10-27,53
2011-10-28,20
2011-10-29,28
2011-10-30,17
2011-10-31,16
2011-11-01,44
2011-11-02,26
2011-11-03,29
2011-11-04,81
2011-11-05,41
2011-11-06,12
2011-11-07,51
2011-11-08,25
2011-11-09,25
2011-11-10,38
2011-11-11,27
2011-11-12,24
2011-11-13,52
2011-11-14,48
2011-11-15,38
2011-11-16,66
2011-11-17,42
2011-11-18,57
2011-11-19,24
2011-11-20,60
2011-11-21,44
2011-11-22,54
2011-11-23,47
2011-11-24,62
2011-11-25,59
2011-11-26,36
2011-11-27,76
2011-11-28,100
2011-11-29,63
2011-11-30,55
2011-12-01,88
2011-12-02,100
2011-12-03,71
2011-12-04,71
2011-12-05,56
2011-12-06,51
2011-12-07,52
2011-12-08,88
2011-12-09,82
2011-12-10,87
2011-12-11,76
2011-12-12,57
2011-12-13,86
2011-12-14,53
2011-12-15,72
2011-12-16,70
2011-12-17,39
2011-12-18,62
2011-12-19,72
2011-12-20,76
2011-12-21,78
2011-12-22,58
2011-12-23,68
2011-12-24,68
2011-12-25,34
2011-12-26,62
2011-12-27,66
2011-12-28,65
2011-12-29,48
2011-12-30,68
2011-12-31,38
2012-01-01,45
2012-01-02,55
2012-01-03,82
2012-01-04,56
2012-01-05,67
2012-01-06,57
2012-01-07,56
2012-01-08,29
2012-01-09,41
2012-01-10,48
2012-01-11,62
2012-01-12,45
2012-01-13,42
2012-01-14,32
2012-01-15,29
2012-01-16,35
2012-01-17,58
2012-01-18,60
2012-01-19,51
2012-01-20,66
2012-01-21,28
2012-01-22,36
2012-01-23,60
2012-01-24,33
2012-01-25,57
2012-01-26,47
2012-01-27,70
2012-01-28,41
2012-01-29,62
2012-01-30,47
2012-01-31,100
2012-02-01,100
2012-02-02,67
2012-02-03,47
2012-02-04,41
2012-02-05,21
2012-02-06,42
2012-02-07,41
2012-02-08,45
2012-02-09,71
2012-02-10,35
2012-02-11,46
2012-02-12,39
2012-02-13,37
2012-02-14,58
2012-02-15,46
2012-02-16,50
2012-02-17,22
2012-02-18,36
2012-02-19,31
2012-02-20,34
2012-02-21,54
2012-02-22,46
2012-02-23,54
2012-02-24,43
2012-02-25,15
2012-02-26,51
2012-02-27,33
2012-02-28,45
2012-02-29,28
2012-03-01,72
2012-03-02,76
2012-03-03,59
2012-03-04,66
2012-03-05,57
2012-03-06,82
2012-03-07,53
2012-03-08,53
2012-03-09,100
2012-03-10,90
2012-03-11,49
2012-03-12,83
2012-03-13,73
2012-03-14,54
2012-03-15,44
2012-03-16,93
2012-03-17,74
2012-03-18,49
2012-03-19,68
2012-03-20,77
2012-03-21,97
2012-03-22,59
2012-03-23,72
2012-03-24,83
2012-03-25,36
2012-03-26,92
2012-03-27,96
2012-03-28,43
2012-03-29,78
2012-03-30,36
2012-03-31,70
2012-04-01,24
2012-04-02,32
2012-04-03,29
2012-04-04,38
2012-04-05,40
2012-04-06,18
2012-04-07,16
2012-04-08,20
2012-04-09,18
2012-04-10,27
2012-04-11,29
2012-04-12,25
2012-04-13,24
2012-04-14,39
2012-04-15,23
2012-04-16,25
2012-04-17,33
2012-04-18,18
2012-04-19,27
2012-04-20,26
2012-04-21,26
2012-04-22,38
2012-04-23,27
2012-04-24,24
2012-04-25,35
2012-04-26,60
2012-04-27,100
2012-04-28,44
2012-04-29,26
2012-04-30,47
2012-05-01,86
2012-05-02,44
2012-05-03,62
