date,weighted,close,high,low,open,volume
2014-08-16,505.511731,522.01,524.25,483.24,496.45,1956441.61
2014-08-17,504.004052,485.5,524.71,478.22,522.01,1584568.58
2014-08-18,468.945174,462.18,493.26,449.95,485.5,2991012.04
2014-08-19,480.058984,485.12,487.05,455.8,462.18,2458098.82
2014-08-20,503.800702,516.78,521.84,468.51,485.12,2965577.49
2014-08-21,526.849959,517.94,537.17,511.36,516.78,2974478.96
2014-08-22,517.1517,516.1,524.44,500.57,517.94,3116862.95
2014-08-23,509.974125,497.68,516.82,493.98,516.1,1596652.49
2014-08-24,510.922753,509.71,514.82,496.81,497.68,1294320.61
2014-08-25,514.845439,502.93,511.33,499.71,509.71,1409621.07
2014-08-26,518.66912,512.56,516.04,501.81,502.93,1831000.54
2014-08-27,523.658543,515.23,527.37,512.66,512.56,1982424.62
2014-08-28,516.620482,510.75,521.59,503.34,515.23,2307082.42
2014-08-29,515.365179,512.56,515.18,506.69,510.75,1876846.6
2014-08-30,508.289185,505.96,512.91,503.12,512.56,1337420.67
2014-08-31,489.362656,481.78,508.34,478.31,505.96,2982601.77
2014-09-01,480.589399,477.19,487.47,471.78,481.78,3261178.74
2014-09-02,487.575426,478.94,486.99,470.54,477.19,3291738.72
2014-09-03,491.630359,480.04,487.29,476.82,478.94,3018772.64
2014-09-04,493.373585,490.99,498.47,476.26,480.04,4345165.83
2014-09-05,499.029519,483.65,495.02,483.07,490.99,3013185.15
2014-09-06,496.727782,484.47,491.38,480.79,483.65,1883095.02
2014-09-07,492.674626,485.75,490.72,478.49,484.47,1755360.28
2014-09-08,485.122767,475.69,487.02,469.5,485.75,3948928.43
2014-09-09,484.153943,474.9,478.6,467.52,475.69,3529051.35
2014-09-10,489.430111,479.7,491.04,471.57,474.9,4058785.18
2014-09-11,490.791306,478.49,488.92,474.57,479.7,3086920.26
2014-09-12,488.690696,477.73,479.71,471.14,478.49,2514548.2
2014-09-13,487.196876,478.17,480.64,474.64,477.73,2569793
2014-09-14,483.100425,477.74,480.33,471.96,478.17,2031789.95
2014-09-15,489.08183,477.71,479.28,473.7,477.74,2753462.23
2014-09-16,481.351799,466.75,478.81,463.95,477.71,3139554.53
2014-09-17,469.323409,461.09,469.39,458.27,466.75,3522262.8
