date,Microsoft stock_unscaled
2010-07-06,42
2010-07-07,41
2010-07-08,32
2010-07-09,29
2010-07-10,29
2010-07-11,45
2010-07-12,31
2010-07-13,0
2010-07-14,41
2010-07-15,35
2010-07-16,22
2010-07-17,30
2010-07-18,30
2010-07-19,34
2010-07-20,34
2010-07-21,73
2010-07-22,63
2010-07-23,44
2010-07-24,39
2010-07-25,30
2010-07-26,41
2010-07-27,51
2010-07-28,31
2010-07-29,21
2010-07-30,44
2010-07-31,0
2010-08-01,100
2010-08-02,46
2010-08-03,17
2010-08-04,26
2010-08-05,47
2010-08-06,56
2010-08-07,25
2010-08-08,25
2010-08-09,34
2010-08-10,22
2010-08-11,34
2010-08-12,44
2010-08-13,37
2010-08-14,36
2010-08-15,0
2010-08-16,35
2010-08-17,34
2010-08-18,34
2010-08-19,23
2010-08-20,24
2010-08-21,32
2010-08-22,24
2010-08-23,28
2010-08-24,17
2010-08-25,17
2010-08-26,17
2010-08-27,45
2010-08-28,23
2010-08-29,24
2010-08-30,39
2010-08-31,22
2010-09-01,26
2010-09-02,35
2010-09-03,25
2010-09-04,25
2010-09-05,26
2010-09-06,29
2010-09-07,34
2010-09-08,42
2010-09-09,51
2010-09-10,36
2010-09-11,35
2010-09-12,46
2010-09-13,100
2010-09-14,61
2010-09-15,26
2010-09-16,26
2010-09-17,54
2010-09-18,48
2010-09-19,47
2010-09-20,51
2010-09-21,28
2010-09-22,50
2010-09-23,25
2010-09-24,80
2010-09-25,47
2010-09-26,23
2010-09-27,16
2010-09-28,33
2010-09-29,44
2010-09-30,49
2010-10-01,55
2010-10-02,24
2010-10-03,24
2010-10-04,60
2010-10-05,85
2010-10-06,53
2010-10-07,38
2010-10-08,28
2010-10-09,49
2010-10-10,25
2010-10-11,18
2010-10-12,63
2010-10-13,35
2010-10-14,69
2010-10-15,27
2010-10-16,24
2010-10-17,24
2010-10-18,68
2010-10-19,75
2010-10-20,42
2010-10-21,34
2010-10-22,45
2010-10-23,47
2010-10-24,23
2010-10-25,0
2010-10-26,33
2010-10-27,33
2010-10-28,43
2010-10-29,27
2010-10-30,24
2010-10-31,100
2010-11-01,53
2010-11-02,46
2010-11-03,36
2010-11-04,88
2010-11-05,47
2010-11-06,44
2010-11-07,52
2010-11-08,57
2010-11-09,57
2010-11-10,38
2010-11-11,66
2010-11-12,71
2010-11-13,27
2010-11-14,44
2010-11-15,48
2010-11-16,49
2010-11-17,100
2010-11-18,63
2010-11-19,40
2010-11-20,52
2010-11-21,35
2010-11-22,38
2010-11-23,57
2010-11-24,52
2010-11-25,53
2010-11-26,0
2010-11-27,40
2010-11-28,0
2010-11-29,31
2010-11-30,72
2010-12-01,63
2010-12-02,64
2010-12-03,59
2010-12-04,43
2010-12-05,22
2010-12-06,32
2010-12-07,32
2010-12-08,41
2010-12-09,49
2010-12-10,51
2010-12-11,22
2010-12-12,88
2010-12-13,16
2010-12-14,24
2010-12-15,32
2010-12-16,42
2010-12-17,36
2010-12-18,23
2010-12-19,23
2010-12-20,0
2010-12-21,69
2010-12-22,100
2010-12-23,39
2010-12-24,0
2010-12-25,29
2010-12-26,25
2010-12-27,19
2010-12-28,28
2010-12-29,37
2010-12-30,38
2010-12-31,22
2011-01-01,37
2011-01-02,50
2011-01-03,46
2011-01-04,60
2011-01-05,100
2011-01-06,91
2011-01-07,100
2011-01-08,29
2011-01-09,42
2011-01-10,67
2011-01-11,80
2011-01-12,65
2011-01-13,52
2011-01-14,60
2011-01-15,57
2011-01-16,29
2011-01-17,85
2011-01-18,79
2011-01-19,57
2011-01-20,43
2011-01-21,81
2011-01-22,70
2011-01-23,42
2011-01-24,29
2011-01-25,57
2011-01-26,50
2011-01-27,72
2011-01-28,75
2011-01-29,55
2011-01-30,63
2011-01-31,34
2011-02-01,78
2011-02-02,49
2011-02-03,75
2011-02-04,45
2011-02-05,56
2011-02-06,41
2011-02-07,25
2011-02-08,100
2011-02-09,57
2011-02-10,51
2011-02-11,81
2011-02-12,25
2011-02-13,38
2011-02-14,90
2011-02-15,64
2011-02-16,70
2011-02-17,65
2011-02-18,47
2011-02-19,0
2011-02-20,38
2011-02-21,61
2011-02-22,86
2011-02-23,76
2011-02-24,57
2011-02-25,39
2011-02-26,37
2011-02-27,50
2011-02-28,56
2011-03-01,43
2011-03-02,43
2011-03-03,57
2011-03-04,46
2011-03-05,97
2011-03-06,48
2011-03-07,75
2011-03-08,56
2011-03-09,68
2011-03-10,100
2011-03-11,38
2011-03-12,26
2011-03-13,27
2011-03-14,43
2011-03-15,47
2011-03-16,57
2011-03-17,59
2011-03-18,62
2011-03-19,25
2011-03-20,62
2011-03-21,25
2011-03-22,56
2011-03-23,80
2011-03-24,81
2011-03-25,53
2011-03-26,0
2011-03-27,40
2011-03-28,62
2011-03-29,56
2011-03-30,44
2011-03-31,50
2011-04-01,86
2011-04-02,22
2011-04-03,44
2011-04-04,70
2011-04-05,43
2011-04-06,57
2011-04-07,55
2011-04-08,86
2011-04-09,55
2011-04-10,44
2011-04-11,33
2011-04-12,27
2011-04-13,66
2011-04-14,78
2011-04-15,40
2011-04-16,21
2011-04-17,37
2011-04-18,55
2011-04-19,27
2011-04-20,55
2011-04-21,51
2011-04-22,18
2011-04-23,22
2011-04-24,47
2011-04-25,100
2011-04-26,37
2011-04-27,64
2011-04-28,59
2011-04-29,80
2011-04-30,29
2011-05-01,36
2011-05-02,38
2011-05-03,35
2011-05-04,25
2011-05-05,27
2011-05-06,35
2011-05-07,29
2011-05-08,20
2011-05-09,32
2011-05-10,100
2011-05-11,76
2011-05-12,52
2011-05-13,38
2011-05-14,14
2011-05-15,14
2011-05-16,49
2011-05-17,39
2011-05-18,32
2011-05-19,22
2011-05-20,40
2011-05-21,29
2011-05-22,29
2011-05-23,18
2011-05-24,32
2011-05-25,38
2011-05-26,37
2011-05-27,32
2011-05-28,30
2011-05-29,32
2011-05-30,14
2011-05-31,29
2011-06-01,60
2011-06-02,41
2011-06-03,29
2011-06-04,45
2011-06-05,22
2011-06-06,50
2011-06-07,43
2011-06-08,42
2011-06-09,34
2011-06-10,64
2011-06-11,30
2011-06-12,37
2011-06-13,25
2011-06-14,39
2011-06-15,33
2011-06-16,25
2011-06-17,18
2011-06-18,30
2011-06-19,38
2011-06-20,22
2011-06-21,60
2011-06-22,33
2011-06-23,17
2011-06-24,23
2011-06-25,100
2011-06-26,53
2011-06-27,33
2011-06-28,49
2011-06-29,85
2011-06-30,34
2011-07-01,29
2011-07-02,33
2011-07-03,46
